"name","ref","id","address/name","address/street","address/street2","address/zip","address/city","address/country_id.id","address/phone","address/fax","address/email","property_payment_term.id","credit_limit","x_nif","x_stat","x_cif","customer","supplier"
"SMTP AMBOHIBAO","C22001","C22001",,"AMBOHIBAO",,,"ANTANANARIVO",135,,,,5,1000000000,"11653544",,,"TRUE","FALSE"
"SOCOLAIT GROUPE SMTP","C22002","C22002",,"B.P 11107 Poste MAGRI 105","Lot 01 A Ambohibao Antehiroka",,,135,"22442 20/446 50/45772","22 446 43/22 444 35",,5,0,"9324747",,,"TRUE","FALSE"
"ABC CONSTRUCTION","C22003","C22003",,,,,,135,,,"mariejosee@socolait.mg",5,4000000,"49554",,,"TRUE","FALSE"
"INTERNATIONAL DISTRIBUTION","C22004","C22004",,,,,,135,,,,5,300000000,"105 005 162",,,"TRUE","FALSE"
"AGRIVET","C22005","C22005","MME SALLY","LOT 01 A AMBOHIBAO ANTEHIROKA","BP 3917","101","ANTANANARIVO",135,"22 538 74","22 583 75",,5,50000000,"36942",,,"TRUE","FALSE"
"EUROPAINTS","C22006","C22006","DALLY","SMTP","ANTANANARIVO",,,135,,,,5,60000000,"62 319",,,"TRUE","FALSE"
"DISCOI","C22007","C22007","MR RICHAD","C/O SMTP","AMBOHIBAO","101","ANTANANARIVO",135,"22 583 20","22 583 23",,5,150000000,"37846",,,"TRUE","FALSE"
"IDF ( GROUPE SMTP)","C22008","C22008",,,,,,135,,,,5,400000000,"79860",,,"TRUE","FALSE"
"STE DE PECHE DE SAINTE MARIE SPSM","C22009","C22009",,"I LOT MADAME SAINTE MARIE",,,"SAINTE MARIE",135,"5740347/5740349","5740349",,5,0,"5793454",,,"TRUE","FALSE"
"NOSCIM","C22010","C22010",,,,,"MAJUNGA",135,,,,5,20000000,"660832",,,"TRUE","FALSE"
"QIE 888","C22011","C22011","MR RAZAFIARISON","LOT II A 36B AMBODITSIRY",,"101","ANTANANARIVO",135,"032 04 161 68-0331154",,,5,15000000,"2505244",,,"TRUE","FALSE"
