"id","journal_id.id","partner_id/id","period_id.id","date","name","state"
"FAT08927",105,"C53299",1,2011/01/06,"FAT08927","posted"
"FAT08931",105,"C53299",1,2011/01/06,"FAT08931","posted"
"FAT08932",105,"C53299",1,2011/01/06,"FAT08932","posted"
"FAA13788",105,"C88010",1,2011/01/05,"FAA13788","posted"
"FAA15405",105,"C22878",1,2011/01/27,"FAA15405","posted"
"FAT08936",105,"C53022",1,2011/01/06,"FAT08936","posted"
"FAA14059",105,"C82036",1,2011/01/10,"FAA14059","posted"
"FAT08937",105,"C53022",1,2011/01/06,"FAT08937","posted"
"FAT10038",105,"C53299",2,2011/02/18,"FAT10038","posted"
"FAT08859",105,"C53299",1,2011/01/04,"FAT08859","posted"
"FAT08891",105,"C53299",1,2011/01/05,"FAT08891","posted"
"FAT08893",105,"C53299",1,2011/01/05,"FAT08893","posted"
"FAT08894",105,"C53299",1,2011/01/05,"FAT08894","posted"
"FAT09019",105,"C53299",1,2011/01/11,"FAT09019","posted"
"FAT09032",105,"C53299",1,2011/01/11,"FAT09032","posted"
"FAT09112",105,"C53299",1,2011/01/13,"FAT09112","posted"
"FAT09126",105,"C53299",1,2011/01/13,"FAT09126","posted"
"FAT08987",105,"C53003",1,2011/01/08,"FAT08987","posted"
"FAA14405",105,"C62067",1,2011/01/14,"FAA14405","posted"
"FAI07061",105,"C22693",1,2011/01/17,"FAI07061","posted"
"FAI07060",105,"C22693",1,2011/01/17,"FAI07060","posted"
"FAA14471",105,"C22912",1,2011/01/15,"FAA14471","posted"
"FAT08935",105,"C53232",1,2011/01/06,"FAT08935","posted"
"FAI07059",105,"C22908",1,2011/01/17,"FAI07059","posted"
"FAT08882",105,"C53901",1,2011/01/05,"FAT08882","posted"
"FAT09393",105,"C53901",1,2011/01/24,"FAT09393","posted"
"FAA13670",105,"C22907",1,2011/01/03,"FAA13670","posted"
"FAT08837",105,"C53188",1,2011/01/03,"FAT08837","posted"
"FAA13671",105,"C22909",1,2011/01/03,"FAA13671","posted"
"FAT08833",105,"C53901",1,2011/01/03,"FAT08833","posted"
"FAA13672",105,"C22970",1,2011/01/03,"FAA13672","posted"
"FAA13675",105,"C22905",1,2011/01/03,"FAA13675","posted"
"FAT08930",105,"C53902",1,2011/01/06,"FAT08930","posted"
"FAT08836",105,"C53902",1,2011/01/03,"FAT08836","posted"
