".id","inventory_line_id/location_id","inventory_line_id/product_id","inventory_line_id/product_qty"
10,"DIGITAL (Magasin)","ACBTDT_002",100
,"Depot Alarobia","ACT_BACB_001",2
,"DIGITAL (Magasin)","ACT_BACB_001",5
,"Depot Tamatave","ACT_BACB_001",32.001
,"Depot Alarobia","ACT_BACC_001",9
,"Depot Tamatave","ACT_BACC_001",41
,"Depot Alarobia","ACT_BACG_001",3
,"DIGITAL (Magasin)","ACT_BACJ_001",1
,"Depot Tamatave","ACT_BACJ_001",17
,"Depot Alarobia","ACT_BACJ_001",46
,"DIGITAL (Magasin)","ACT_BACN_001",5
,"SMOI (Discoi)","ACT_BACN_001",11
,"Depot Tamatave","ACT_BACN_001",63
,"Depot Alarobia","ACT_BACN_001",66
,"SMOI (Discoi)","ACT_BACR_001",1
,"Depot Tamatave","ACT_BACR_001",19
,"Depot Alarobia","ACT_BACR_001",44
,"Depot Alarobia","ACT_BACT_001",110
,"Depot Tamatave","ACT_BACT_001",230
,"SMOI (Discoi)","ACT_BACV_001",1
,"Depot Tamatave","ACT_BACV_001",4
,"Depot Tamatave","ACT_BACW_001",35
,"Depot Alarobia","ACT_BACW_001",128
,"DIGITAL (Magasin)","ACT_CAPR_001",213
,"Depot Tamatave","ACT_CAPR_001",38500
,"DIGITAL (Magasin)","ACT_CAPV_001",129
,"Depot Tamatave","ACT_CAPV_001",54090
,"Depot Alarobia","ACT_CAPW_001",20
,"DIGITAL (Magasin)","ACT_CAPW_001",85
,"Depot Tamatave","ACT_CAPW_001",45070
,"Depot Alarobia","ACT_CTBB_001",95
,"Depot Tamatave","ACT_CTBB_001",142
,"Depot Tamatave","ACT_CTBP_001",2
,"DIGITAL (Magasin)","ACT_CTBP_001",14.4
,"Depot Alarobia","ACT_CTOB_001",18
,"Depot Tamatave","ACT_CTOB_001",70
,"Depot Alarobia","ACT_CTTB_001",1102
,"Depot Tamatave","ACT_CTTB_001",1541
,"Showroom Tamatave","ACT_CTWP_001",0.01
,"Depot Tamatave","ACT_CTWP_001",83
,"Depot Alarobia","ACT_CTWP_001",607
,"Depot Alarobia","ACT_F610_003",9
,"SMOI (Discoi)","ACT_F610_003",27
,"DIGITAL (Magasin)","ACT_F610_003",145
,"Depot Alarobia","ACT_F625_001",152
,"SMOI (Discoi)","ACT_F625_001",20751
,"Depot Tamatave","ACT_F625_001",44986
,"DIGITAL (Magasin)","ACT_F630_002",5417
,"SMOI (Discoi)","ACT_F630_002",12988
,"Depot Tamatave","ACT_F630_002",41130
,"DIGITAL (Magasin)","ACT_F6CP_001",1
,"SMOI (Discoi)","ACT_F6CP_001",202
,"Depot Alarobia","ACT_F6CP_001",8906
,"Depot Tamatave","ACT_F6CP_001",79886
,"Showroom Alarobia","ACT_F6CP_002",1
,"SMOI (Discoi)","ACT_F6CP_002",249
,"Depot Alarobia","ACT_F6CP_002",3516
,"Depot Tamatave","ACT_F6CP_002",15350
,"Showroom Alarobia","ACT_F6CP_003",1
,"DIGITAL (Magasin)","ACT_F6CP_003",440
,"Depot Tamatave","ACT_F6CP_003",2690
,"Depot Alarobia","ACT_F6CP_003",3000
,"Depot Tamatave","ACT_F6CP_004",1100
,"Depot Alarobia","ACT_F6CP_004",1412
,"DIGITAL (Magasin)","ACT_F810_004",1
,"SMOI (Discoi)","ACT_F810_004",100
,"Depot Tamatave","ACT_F810_004",438
,"DIGITAL (Magasin)","ACT_F825_001",848
,"SMOI (Discoi)","ACT_F825_001",12609
,"Depot Tamatave","ACT_F825_001",27338
,"DIGITAL (Magasin)","ACT_F830_002",50
,"Depot Tamatave","ACT_F830_002",6375
,"SMOI (Discoi)","ACT_F830_002",14473
,"SMOI (Discoi)","ACT_F835_003",202
,"DIGITAL (Magasin)","ACT_F835_003",13257
,"Depot Tamatave","ACT_F835_003",16665
,"Showroom Alarobia","ACT_F8CP_001",1
,"SMOI (Discoi)","ACT_F8CP_001",96
,"Depot Alarobia","ACT_F8CP_001",1088
,"DIGITAL (Magasin)","ACT_F8CP_001",6849
,"Depot Tamatave","ACT_F8CP_001",7099
,"Showroom Alarobia","ACT_F8CP_002",1
,"DIGITAL (Magasin)","ACT_F8CP_002",60
,"SMOI (Discoi)","ACT_F8CP_002",153
,"Depot Alarobia","ACT_F8CP_002",775
,"Depot Tamatave","ACT_F8CP_002",15300
,"Showroom Alarobia","ACT_F8CP_003",1
,"SMOI (Discoi)","ACT_F8CP_003",599
,"Depot Alarobia","ACT_F8CP_003",2439
,"Depot Tamatave","ACT_F8CP_003",24910
,"Showroom Alarobia","ACT_F8CP_004",1
,"DIGITAL (Magasin)","ACT_F8CP_004",371
,"Depot Tamatave","ACT_F8CP_004",900
,"SMOI (Discoi)","ACT_F8CP_004",2319
,"Showroom Alarobia","ACT_PTBT_001",1
,"Depot Tamatave","ACT_PTBT_001",12
,"Depot Alarobia","ACT_PTBT_001",13
,"DIGITAL (Magasin)","ACT_PTBT_001",209
,"Showroom Alarobia","ACT_PTBT_002",1
,"Depot Alarobia","ACT_PTBT_002",122
,"Depot Tamatave","ACT_PTET_001",400
,"Depot Alarobia","ACT_RE16_001",1
,"Showroom Alarobia","ACT_RE16_001",1
,"DIGITAL (Magasin)","ACT_RE16_001",9
,"Depot Tamatave","ACT_RF06_001",15
,"Depot Alarobia","ACT_RF06_001",803
,"Showroom Alarobia","ACT_RF08_001",1
,"Depot Alarobia","ACT_RF08_001",852
,"Depot Alarobia","ACT_RONP_001",2900
,"DIGITAL (Magasin)","ACT_RONP_001",10650
,"Depot Tamatave","ACT_RONP_001",68336
,"DIGITAL (Magasin)","ACT_RONP_002",1
,"Showroom Alarobia","ACT_RONP_002",1
,"SMOI (Discoi)","ACT_RONP_002",5
,"Depot Alarobia","ACT_RONP_002",5655
,"Depot Tamatave","ACT_RONP_002",78400
,"Showroom Alarobia","ACT_RONP_003",1
,"SMOI (Discoi)","ACT_RONP_003",15
,"DIGITAL (Magasin)","ACT_RONP_003",5709
,"Depot Alarobia","ACT_RONP_003",6088
,"Depot Tamatave","ACT_RONP_003",42300
,"Depot Tamatave","ACT_TF4F_001",1400
,"DIGITAL (Magasin)","ACT_TF4F_001",7449
,"DIGITAL (Magasin)","ACT_TI66_001",700
,"Depot Alarobia","ACT_TI66_001",5361
,"Depot Tamatave","ACT_TI66_001",9500
,"SMOI (Discoi)","ACT_TI66_001",26700
,"Showroom Alarobia","ACT_TI67_002",1
,"Depot Tamatave","ACT_TI67_002",153
,"DIGITAL (Magasin)","ACT_TI67_002",308
,"Depot Alarobia","ACT_TI67_002",4690
,"SMOI (Discoi)","ACT_TI67_002",15999
,"Showroom Alarobia","ACT_TI68_003",1
,"Depot Alarobia","ACT_TI68_003",6
,"Depot Tamatave","ACT_TI68_003",47020
,"Showroom Alarobia","ACT_TI810_002",1
,"DIGITAL (Magasin)","ACT_TI810_002",148
,"Depot Alarobia","ACT_TI810_002",13810
,"Depot Tamatave","ACT_TI810_002",46519
,"Showroom Alarobia","ACT_TI88_001",1
,"Depot Alarobia","ACT_TI88_001",3298
,"SMOI (Discoi)","ACT_TI88_001",3412
,"Depot Tamatave","ACT_TI88_001",41183
,"Depot Tamatave","ACT_TOGB_001",11
,"Depot Alarobia","ACT_TOGB_001",41
,"Depot Tamatave","ACT_TOGC_001",6
,"Depot Alarobia","ACT_TOGE_001",25
