id,property_payment_term.id
C22001,17
C22002,17
C22003,17
C22004,17
C22005,17
C22006,17
C22007,17
C22008,17
C22009,17
C22010,30
C22011,17
C22013,60
C22014,45
C22015,60
C22016,30
C22017,30
C22018,60
C22019,90
C22020,60
C22022,45
C22028,45
C22031,60
C22034,60
C22045,30
C22048,30
C22050,60
C22051,60
C22052,60
C22054,30
C22057,30
C22059,30
C22062,60
C22063,60
C22064,30
C22065,30
C22066,60
C22067,30
C22068,30
C22069,30
C22070,30
C22071,60
C22072,90
C22073,60
C22075,45
C22076,60
C22077,30
C22080,60
C22085,30
C22086,30
C22089,45
C22091,45
C22092,60
C22096,17
C22097,60
C22098,60
C22099,60
C22100,60
C22104,30
C22107,90
C22110,30
C22111,3
C22112,45
C22116,30
C22118,60
C22119,30
C22120,60
C22127,30
C22128,30
C22129,3
C22130,60
C22131,60
C22132,17
C22135,30
C22140,60
C22143,30
C22145,60
C22149,30
C22151,60
C22152,60
C22155,45
C22156,60
C22158,60
C22159,30
C22160,30
C22161,60
C22162,60
C22163,30
C22164,10
C22165,60
C22166,60
C22167,30
C22168,30
C22170,30
C22171,60
C22172,60
C22173,60
C22174,30
C22175,60
C22176,60
C22179,30
C22183,30
C22184,30
C22185,30
C22186,60
C22190,30
C22191,60
C22193,30
C22194,30
C22195,3
C22196,30
C22198,60
C22199,10
C22202,60
C22204,30
C22206,30
C22207,60
C22208,17
C22210,60
C22211,17
C22212,60
C22213,60
C22221,30
C22222,30
C22223,30
C22224,60
C22225,30
C22226,60
C22234,60
C22236,10
C22237,30
C22239,60
C22240,45
C22244,60
C22247,3
C22249,30
C22251,30
C22252,30
C22253,60
C22256,60
C22257,30
C22258,60
C22260,60
C22261,30
C22262,60
C22265,90
C22266,30
C22267,30
C22270,60
C22271,3
C22272,45
C22273,60
C22274,5
C22275,10
C22282,60
C22284,30
C22286,60
C22287,30
C22289,3
C22290,60
C22292,60
C22294,60
C22295,30
C22301,60
C22303,3
C22304,60
C22310,60
C22314,60
C22315,30
C22321,30
C22322,30
C22323,30
C22324,60
C22325,60
C22326,60
C22332,30
C22333,45
C22335,60
C22337,3
C22341,30
C22345,30
C22347,60
C22352,60
C22354,30
C22359,15
C22361,3
C22363,60
C22366,3
C22368,17
C22369,17
C22370,17
C22373,17
C22374,17
C22375,60
C22385,60
C22387,45
C22388,60
C22389,60
C22392,3
C22393,3
C22394,60
C22395,45
C22396,60
C22397,60
C22398,17
C22410,3
C22411,60
C22413,60
C22414,60
C22415,60
C22416,60
C22418,45
C22419,30
C22420,90
C22421,30
C22422,30
C22430,30
C22437,30
C22438,30
C22439,30
C22440,60
C22442,60
C22444,60
C22448,3
C22449,3
C22450,17
C22452,3
C22453,17
C22454,17
C22459,60
C22462,30
C22465,30
C22470,30
C22475,30
C22476,30
C22477,60
C22482,30
C22484,30
C22485,30
C22486,3
C22488,30
C22489,60
C22491,60
C22492,60
C22493,90
C22494,45
C22495,60
C22496,60
C22497,30
C22498,60
C22499,30
C22500,30
C22501,60
C22502,45
C22503,60
C22506,60
C22507,30
C22509,60
C22512,3
C22513,17
C22515,30
C22516,45
C22517,30
C22518,60
C22519,60
C22520,17
C22521,17
C22522,3
C22526,30
C22527,60
C22529,45
C22530,60
C22532,60
C22533,30
C22534,60
C22539,30
C22542,14
C22543,60
C22544,60
C22547,45
C22550,60
C22552,30
C22553,60
C22554,60
C22555,60
C22556,60
C22557,30
C22558,60
C22560,30
C22561,30
C22564,60
C22565,60
C22566,60
C22567,60
C22568,30
C22569,30
C22570,30
C22571,60
C22572,30
C22573,60
C22574,60
C22575,60
C22576,30
C22577,60
C22578,60
C22580,60
C22583,17
C22584,60
C22590,15
C22591,3
C22592,60
C22593,17
C22594,30
C22597,17
C22598,17
C22599,30
C22601,3
C22602,30
C22603,60
C22604,60
C22605,60
C22607,60
C22608,60
C22609,3
C22610,3
C22613,60
C22618,3
C22622,90
C22626,45
C22627,90
C22630,60
C22631,60
C22632,60
C22634,60
C22636,30
C22638,60
C22639,60
C22641,30
C22644,60
C22645,30
C22646,17
C22653,3
C22654,17
C22656,17
C22657,60
C22659,17
C22660,60
C22662,60
C22663,60
C22668,3
C22669,60
C22671,60
C22672,60
C22673,60
C22674,30
C22676,60
C22677,17
C22678,
C22682,17
C22683,17
C22684,17
C22688,60
C22693,17
C22694,17
C22695,45
C22697,30
C22699,30
C22701,30
C22702,60
C22703,17
C22704,17
C22706,17
C22707,60
C22708,60
C22710,60
C22711,60
C22713,17
C22715,30
C22716,17
C22717,
C22719,17
C22722,30
C22724,60
C22726,60
C22729,60
C22730,15
C22731,90
C22732,3
C22738,30
C22739,90
C22746,30
C22748,3
C22749,60
C22753,60
C22754,60
C22755,17
C22756,60
C22759,30
C22762,17
C22772,17
C22774,30
C22775,30
C22776,17
C22777,17
C22785,45
C22792,30
C22793,17
C22795,17
C22797,30
C22798,17
C22799,3
C22801,60
C44003,15
C44004,15
C44005,17
C44006,60
C44008,17
C44010,15
C44013,60
C44014,60
C44016,60
C44017,60
C44019,60
C44020,3
C47003,60
C53003,17
C53005,17
C53010,17
C53020,60
C53022,17
C53025,17
C53028,17
C53031,17
C53033,17
C53039,17
C53045,60
C53047,60
C53048,17
C53050,17
C53055,30
C53057,60
C53058,60
C53061,45
C53062,60
C53064,60
C53079,17
C53085,60
C53089,17
C53092,17
C53095,17
C53096,17
C53101,17
C53117,17
C53128,17
C53131,17
C53141,45
C53147,17
C53150,17
C53162,30
C53188,17
C53190,17
C53195,17
C53204,17
C53225,17
C53232,17
C53233,17
C53251,17
C53254,17
C53262,17
C53272,17
C53277,17
C53285,45
C53291,17
C53292,17
C54001,45
C54003,60
C54004,60
C54006,17
C56001,60
C56003,17
C62001,60
C62002,60
C62003,60
C62004,60
C62005,45
C62006,45
C62008,60
C62012,30
C62013,30
C62016,60
C62017,60
C62018,60
C62020,60
C62021,60
C62022,30
C62023,60
C62024,17
C62025,30
C62026,45
C62027,60
C62028,30
C62029,60
C62030,30
C62031,60
C62032,30
C62033,60
C62035,17
C62044,17
C62045,
C62049,60
C62050,17
C62051,17
C62053,3
C62057,30
C67003,60
C67004,60
C72002,60
C72003,60
C72005,60
C72006,60
C72008,60
C72009,30
C72010,60
C73001,17
C73002,30
C73004,17
C73006,60
C73007,17
C75003,60
C75005,60
C75006,60
C75007,60
C75009,60
C75010,60
C75011,60
C75013,60
C75014,90
C75015,60
C75017,60
C82001,17
C82002,60
C82003,60
C82013,15
C82014,15
C82015,60
C82016,15
C82018,60
C82021,60
C82024,15
C82025,15
C82026,15
C82027,60
C82028,17
C82029,90
C82031,17
C82032,60
C82033,17
C82037,17
C86001,17
C86002,17
C86003,17
C86005,60
C86006,17
C86007,60
C86008,30
C86009,60
C86010,60
C86014,30
C86017,3
C86018,60
C86020,60
C86021,45
C88004,60
C88006,60
C88009,17
C88010,17
C88013,17
C88016,17
C88018,60
C88019,60
C88020,60
C88027,60
C88028,60
C88029,60
C92002,17
C92004,10
C92005,60
C92006,60
C92007,60
C92008,60
C92009,30
C94001,30
C94006,60
C94007,60
C94009,30
C94010,45
C94011,60
C94012,60
C94014,60
C94015,60
C94016,60
C94017,60
C94019,60
C94020,60
C94022,60
C94023,60
C94024,60
C94025,60
C94026,30
C94028,30
C94029,60
C94030,17
C94031,30
C94032,30
C94033,90
C94034,90
C94035,60
C94040,60
C94041,60
C94042,60
C94043,60
C95003,60
C95004,60
C95005,30
C95006,30
C95007,17
C95008,17
C95009,30
C95010,30
