".id","inventory_line_id/location_id","inventory_line_id/product_id","inventory_line_id/product_qty","inventory_line_id/product_uom"
10,"DIGITAL (Magasin)","ACBTDT_002",100,"Kilo"
,"Depot Alarobia","ACT_BACB_001",2,"Sachet"
,"DIGITAL (Magasin)","ACT_BACB_001",5,"Sachet"
,"Depot Tamatave","ACT_BACB_001",32.001,"Sachet"
,"Depot Alarobia","ACT_BACC_001",9,"Sachet"
,"Depot Tamatave","ACT_BACC_001",41,"Sachet"
,"Depot Alarobia","ACT_BACG_001",3,"Sachet"
,"DIGITAL (Magasin)","ACT_BACJ_001",1,"Sachet"
,"Depot Tamatave","ACT_BACJ_001",17,"Sachet"
,"Depot Alarobia","ACT_BACJ_001",46,"Sachet"
,"DIGITAL (Magasin)","ACT_BACN_001",5,"Sachet"
,"SMOI (Discoi)","ACT_BACN_001",11,"Sachet"
,"Depot Tamatave","ACT_BACN_001",63,"Sachet"
,"Depot Alarobia","ACT_BACN_001",66,"Sachet"
,"SMOI (Discoi)","ACT_BACR_001",1,"Sachet"
,"Depot Tamatave","ACT_BACR_001",19,"Sachet"
,"Depot Alarobia","ACT_BACR_001",44,"Sachet"
,"Depot Alarobia","ACT_BACT_001",110,"Sachet"
,"Depot Tamatave","ACT_BACT_001",230,"Sachet"
,"SMOI (Discoi)","ACT_BACV_001",1,"Sachet"
,"Depot Tamatave","ACT_BACV_001",4,"Sachet"
,"Depot Tamatave","ACT_BACW_001",35,"Sachet"
,"Depot Alarobia","ACT_BACW_001",128,"Sachet"
,"DIGITAL (Magasin)","ACT_CAPR_001",213,"Sachet"
,"Depot Tamatave","ACT_CAPR_001",38500,"Sachet"
,"DIGITAL (Magasin)","ACT_CAPV_001",129,"Sachet"
,"Depot Tamatave","ACT_CAPV_001",54090,"Sachet"
,"Depot Alarobia","ACT_CAPW_001",20,"Sachet"
,"DIGITAL (Magasin)","ACT_CAPW_001",85,"Sachet"
,"Depot Tamatave","ACT_CAPW_001",45070,"Sachet"
,"Depot Alarobia","ACT_CTBB_001",95,"Sachet"
,"Depot Tamatave","ACT_CTBB_001",142,"Sachet"
,"Depot Tamatave","ACT_CTBP_001",2,"Sachet"
,"DIGITAL (Magasin)","ACT_CTBP_001",14.4,"Sachet"
,"Depot Alarobia","ACT_CTOB_001",18,"Sachet"
,"Depot Tamatave","ACT_CTOB_001",70,"Sachet"
,"Depot Alarobia","ACT_CTTB_001",1102,"Unité"
,"Depot Tamatave","ACT_CTTB_001",1541,"Unité"
,"Showroom Tamatave","ACT_CTWP_001",0.01,"Sachet"
,"Depot Tamatave","ACT_CTWP_001",83,"Sachet"
,"Depot Alarobia","ACT_CTWP_001",607,"Sachet"
,"Depot Alarobia","ACT_F610_003",9,"Unité"
,"SMOI (Discoi)","ACT_F610_003",27,"Unité"
,"DIGITAL (Magasin)","ACT_F610_003",145,"Unité"
,"Depot Alarobia","ACT_F625_001",152,"Unité"
,"SMOI (Discoi)","ACT_F625_001",20751,"Unité"
,"Depot Tamatave","ACT_F625_001",44986,"Unité"
,"DIGITAL (Magasin)","ACT_F630_002",5417,"Unité"
,"SMOI (Discoi)","ACT_F630_002",12988,"Unité"
,"Depot Tamatave","ACT_F630_002",41130,"Unité"
,"DIGITAL (Magasin)","ACT_F6CP_001",1,"Unité"
,"SMOI (Discoi)","ACT_F6CP_001",202,"Unité"
,"Depot Alarobia","ACT_F6CP_001",8906,"Unité"
,"Depot Tamatave","ACT_F6CP_001",79886,"Unité"
,"Showroom Alarobia","ACT_F6CP_002",1,"Unité"
,"SMOI (Discoi)","ACT_F6CP_002",249,"Unité"
,"Depot Alarobia","ACT_F6CP_002",3516,"Unité"
,"Depot Tamatave","ACT_F6CP_002",15350,"Unité"
,"Showroom Alarobia","ACT_F6CP_003",1,"Unité"
,"DIGITAL (Magasin)","ACT_F6CP_003",440,"Unité"
,"Depot Tamatave","ACT_F6CP_003",2690,"Unité"
,"Depot Alarobia","ACT_F6CP_003",3000,"Unité"
,"Depot Tamatave","ACT_F6CP_004",1100,"Unité"
,"Depot Alarobia","ACT_F6CP_004",1412,"Unité"
,"DIGITAL (Magasin)","ACT_F810_004",1,"Unité"
,"SMOI (Discoi)","ACT_F810_004",100,"Unité"
,"Depot Tamatave","ACT_F810_004",438,"Unité"
,"DIGITAL (Magasin)","ACT_F825_001",848,"Unité"
,"SMOI (Discoi)","ACT_F825_001",12609,"Unité"
,"Depot Tamatave","ACT_F825_001",27338,"Unité"
,"DIGITAL (Magasin)","ACT_F830_002",50,"Unité"
,"Depot Tamatave","ACT_F830_002",6375,"Unité"
,"SMOI (Discoi)","ACT_F830_002",14473,"Unité"
,"SMOI (Discoi)","ACT_F835_003",202,"Unité"
,"DIGITAL (Magasin)","ACT_F835_003",13257,"Unité"
,"Depot Tamatave","ACT_F835_003",16665,"Unité"
,"Showroom Alarobia","ACT_F8CP_001",1,"Unité"
,"SMOI (Discoi)","ACT_F8CP_001",96,"Unité"
,"Depot Alarobia","ACT_F8CP_001",1088,"Unité"
,"DIGITAL (Magasin)","ACT_F8CP_001",6849,"Unité"
,"Depot Tamatave","ACT_F8CP_001",7099,"Unité"
,"Showroom Alarobia","ACT_F8CP_002",1,"Unité"
,"DIGITAL (Magasin)","ACT_F8CP_002",60,"Unité"
,"SMOI (Discoi)","ACT_F8CP_002",153,"Unité"
,"Depot Alarobia","ACT_F8CP_002",775,"Unité"
,"Depot Tamatave","ACT_F8CP_002",15300,"Unité"
,"Showroom Alarobia","ACT_F8CP_003",1,"Unité"
,"SMOI (Discoi)","ACT_F8CP_003",599,"Unité"
,"Depot Alarobia","ACT_F8CP_003",2439,"Unité"
,"Depot Tamatave","ACT_F8CP_003",24910,"Unité"
,"Showroom Alarobia","ACT_F8CP_004",1,"Unité"
,"DIGITAL (Magasin)","ACT_F8CP_004",371,"Unité"
,"Depot Tamatave","ACT_F8CP_004",900,"Unité"
,"SMOI (Discoi)","ACT_F8CP_004",2319,"Unité"
,"Showroom Alarobia","ACT_PTBT_001",1,"Kilo"
,"Depot Tamatave","ACT_PTBT_001",12,"Kilo"
,"Depot Alarobia","ACT_PTBT_001",13,"Kilo"
,"DIGITAL (Magasin)","ACT_PTBT_001",209,"Kilo"
,"Showroom Alarobia","ACT_PTBT_002",1,"Kilo"
,"Depot Alarobia","ACT_PTBT_002",122,"Kilo"
,"Depot Tamatave","ACT_PTET_001",400,"Unité"
,"Depot Alarobia","ACT_RE16_001",1,"Sachet"
,"Showroom Alarobia","ACT_RE16_001",1,"Sachet"
,"DIGITAL (Magasin)","ACT_RE16_001",9,"Sachet"
,"Depot Tamatave","ACT_RF06_001",15,"Sachet"
,"Depot Alarobia","ACT_RF06_001",803,"Sachet"
,"Showroom Alarobia","ACT_RF08_001",1,"Sachet"
,"Depot Alarobia","ACT_RF08_001",852,"Sachet"
,"Depot Alarobia","ACT_RONP_001",2900,"Unité"
,"DIGITAL (Magasin)","ACT_RONP_001",10650,"Unité"
,"Depot Tamatave","ACT_RONP_001",68336,"Unité"
,"DIGITAL (Magasin)","ACT_RONP_002",1,"Unité"
,"Showroom Alarobia","ACT_RONP_002",1,"Unité"
,"SMOI (Discoi)","ACT_RONP_002",5,"Unité"
,"Depot Alarobia","ACT_RONP_002",5655,"Unité"
,"Depot Tamatave","ACT_RONP_002",78400,"Unité"
,"Showroom Alarobia","ACT_RONP_003",1,"Unité"
,"SMOI (Discoi)","ACT_RONP_003",15,"Unité"
,"DIGITAL (Magasin)","ACT_RONP_003",5709,"Unité"
,"Depot Alarobia","ACT_RONP_003",6088,"Unité"
,"Depot Tamatave","ACT_RONP_003",42300,"Unité"
,"Depot Tamatave","ACT_TF4F_001",1400,"Unité"
,"DIGITAL (Magasin)","ACT_TF4F_001",7449,"Unité"
,"DIGITAL (Magasin)","ACT_TI66_001",700,"Unité"
,"Depot Alarobia","ACT_TI66_001",5361,"Unité"
,"Depot Tamatave","ACT_TI66_001",9500,"Unité"
,"SMOI (Discoi)","ACT_TI66_001",26700,"Unité"
,"Showroom Alarobia","ACT_TI67_002",1,"Unité"
,"Depot Tamatave","ACT_TI67_002",153,"Unité"
,"DIGITAL (Magasin)","ACT_TI67_002",308,"Unité"
,"Depot Alarobia","ACT_TI67_002",4690,"Unité"
,"SMOI (Discoi)","ACT_TI67_002",15999,"Unité"
,"Showroom Alarobia","ACT_TI68_003",1,"Unité"
,"Depot Alarobia","ACT_TI68_003",6,"Unité"
,"Depot Tamatave","ACT_TI68_003",47020,"Unité"
,"Showroom Alarobia","ACT_TI810_002",1,"Unité"
,"DIGITAL (Magasin)","ACT_TI810_002",148,"Unité"
,"Depot Alarobia","ACT_TI810_002",13810,"Unité"
,"Depot Tamatave","ACT_TI810_002",46519,"Unité"
,"Showroom Alarobia","ACT_TI88_001",1,"Unité"
,"Depot Alarobia","ACT_TI88_001",3298,"Unité"
,"SMOI (Discoi)","ACT_TI88_001",3412,"Unité"
,"Depot Tamatave","ACT_TI88_001",41183,"Unité"
,"Depot Tamatave","ACT_TOGB_001",11,"Sachet"
,"Depot Alarobia","ACT_TOGB_001",41,"Sachet"
,"Depot Tamatave","ACT_TOGC_001",6,"Sachet"
,"Depot Alarobia","ACT_TOGE_001",25,"Sachet"
,"Depot Tamatave","ACT_TOGE_001",33,"Sachet"
,"Depot Tamatave","ACT_TOGG_001",9,"Unité"
,"Depot Alarobia","ACT_TOGJ_001",30,"Sachet"
,"Depot Tamatave","ACT_TOGJ_001",66,"Sachet"
,"Depot Tamatave","ACT_TOGN_001",30.999,"Sachet"
,"Depot Alarobia","ACT_TOGN_001",46,"Sachet"
,"Depot Tamatave","ACT_TOGR_001",17,"Sachet"
,"Depot Alarobia","ACT_TOGR_001",17,"Sachet"
,"Depot Alarobia","ACT_TOGT_001",13,"Sachet"
,"Depot Tamatave","ACT_TOGT_001",20,"Sachet"
,"Depot Tamatave","ACT_TOGV_001",112,"Sachet"
,"Depot Alarobia","ACT_TOGV_001",303,"Sachet"
,"Depot Tamatave","ACT_TOGW_001",28,"Sachet"
,"Depot Alarobia","ACT_TOGW_001",30,"Sachet"
,"Showroom Alarobia","ACT_VAP4_002",1,"Unité"
,"Depot Alarobia","ACT_VAP4_002",199,"Unité"
,"Depot Tamatave","ACT_VAP4_003",1,"Boîte"
,"Showroom Alarobia","ACT_VAP6_001",2,"Unité"
,"DIGITAL (Magasin)","ACT_VAP6_001",499,"Unité"
,"Depot Alarobia","ACT_VAP6_001",2900,"Unité"
,"Depot Tamatave","ACT_VAP6_001",11849,"Unité"
,"SMOI (Discoi)","ACT_VAP6_001",17509,"Unité"
,"DIGITAL (Magasin)","ACT_VAP6_002",499,"Unité"
,"Depot Tamatave","ACT_VAP6_002",6894,"Unité"
,"Depot Alarobia","ACT_VAP6_002",8849,"Unité"
,"SMOI (Discoi)","ACT_VAP6_002",70758,"Unité"
,"Showroom Alarobia","ACT_VAP6_003",2,"Unité"
,"SMOI (Discoi)","ACT_VAP6_003",384,"Unité"
,"Depot Alarobia","ACT_VAP6_003",2914,"Unité"
,"Depot Tamatave","ACT_VAP6_003",6099,"Unité"
,"Showroom Alarobia","ACT_VAP6_004",2,"Unité"
,"DIGITAL (Magasin)","ACT_VAP6_004",249,"Unité"
,"Depot Alarobia","ACT_VAP6_004",5847,"Unité"
,"Depot Tamatave","ACT_VAP6_004",7699,"Unité"
,"SMOI (Discoi)","ACT_VAP6_004",35258,"Unité"
,"Showroom Alarobia","ACT_VAP6_005",2,"Unité"
,"Depot Alarobia","ACT_VAP6_005",3439,"Unité"
,"Depot Tamatave","ACT_VAP6_005",5235,"Unité"
,"SMOI (Discoi)","ACT_VAP6_005",26033,"Unité"
,"Showroom Alarobia","ACT_VAP6_006",2,"Unité"
,"Depot Tamatave","ACT_VAP6_006",100,"Unité"
,"Depot Alarobia","ACT_VAP6_006",5999,"Unité"
,"SMOI (Discoi)","ACT_VAP6_006",54683,"Unité"
,"Showroom Alarobia","ACT_VAP6_007",2,"Unité"
,"DIGITAL (Magasin)","ACT_VAP6_007",694,"Unité"
,"Depot Alarobia","ACT_VAP6_007",5006,"Unité"
,"Depot Tamatave","ACT_VAP6_007",20422,"Unité"
,"Showroom Alarobia","ACT_VAT6_001",1,"Unité"
,"SMOI (Discoi)","ACT_VAT6_001",199,"Unité"
,"Depot Tamatave","ACT_VAT6_001",8100,"Unité"
,"Depot Alarobia","ACT_VAT6_001",13350,"Unité"
,"Depot Alarobia","ACT_VAT6_002",10000,"Unité"
,"Depot Tamatave","ACT_VAT6_002",74730,"Unité"
,"Depot Alarobia","ACT_VAT6_003",9400,"Unité"
,"Depot Tamatave","ACT_VAT6_003",72764,"Unité"
,"Showroom Tamatave","AGR_CANI_013",1,"Sac"
,"Depot Tamatave","AGR_CANI_013",15,"Sac"
,"Showroom Tamatave","AGR_CANI_015",1,"Unité"
,"Depot Tamatave","AGR_CANI_015",4,"Unité"
,"Showroom Tamatave","AGR_CANI_016",1,"Unité"
,"Showroom Tamatave","AGR_CANI_020",1,"Unité"
,"Depot Tamatave","AGR_CANI_020",1,"Unité"
,"Showroom Tamatave","AGR_CANI_021",1,"Unité"
,"Depot Tamatave","AGR_CANI_021",1,"Unité"
,"Showroom Alarobia","AGR_CANI_021",1,"Unité"
,"Depot Tamatave","AGR_CANI_022",1,"Unité"
,"Showroom Tamatave","AGR_CANI_023",1,"Unité"
,"Depot Tamatave","AGR_CANI_023",2,"Unité"
,"Showroom Tamatave","AGR_CANI_024",1,"Unité"
,"Depot Tamatave","AGR_CANI_024",9,"Unité"
,"Showroom Tamatave","AGR_CANI_025",1,"Unité"
,"Depot Tamatave","AGR_CANI_025",4,"Unité"
,"Showroom Tamatave","AGR_CANI_026",2,"Unité"
,"Depot Tamatave","AGR_CANI_026",5,"Unité"
,"Showroom Alarobia","AGR_CANI_028",1,"Unité"
,"Depot Alarobia","AGR_CANI_028",9,"Unité"
,"DIGITAL (Magasin)","AGR_CANI_029",7,"Boîte"
,"Showroom Tamatave","AGR_CANI_030",1,"Boîte"
,"Depot Tamatave","AGR_CANI_030",4,"Boîte"
,"DIGITAL (Magasin)","AGR_CANI_030",5,"Boîte"
,"Showroom Tamatave","AGR_CANI_031",1,"Unité"
,"Depot Tamatave","AGR_CANI_031",1,"Unité"
,"DIGITAL (Magasin)","AGR_GANT_001",1,"Paire"
,"Showroom Tamatave","AGR_HYGI_001",1,"Unité"
,"Depot Tamatave","AGR_HYGI_001",76,"Unité"
,"Depot Alarobia","AGR_HYGI_001",117,"Unité"
,"Showroom Alarobia","AGR_HYGI_002",1,"Unité"
,"DIGITAL (Magasin)","AGR_HYGI_002",4,"Unité"
,"Depot Alarobia","AGR_HYGI_002",5,"Unité"
,"Depot Tamatave","AGR_HYGI_002",11,"Unité"
,"Showroom Tamatave","AGR_HYGI_003",1,"Unité"
,"Depot Alarobia","AGR_HYGI_003",10,"Unité"
,"Depot Tamatave","AGR_HYGI_003",20,"Unité"
,"DIGITAL (Magasin)","AGR_HYGI_003",73,"Unité"
,"DIGITAL (Magasin)","AGR_HYGI_004",10,"Unité"
,"Showroom Tamatave","AGR_HYGI_006",1,"Unité"
,"DIGITAL (Magasin)","AGR_HYGI_006",4,"Unité"
,"Depot Tamatave","AGR_HYGI_006",14,"Unité"
,"DIGITAL (Magasin)","AGR_HYGI_007",10,"Unité"
,"Depot Tamatave","AGR_HYGI_007",23,"Unité"
,"Depot Alarobia","AGR_HYGI_008",6,"Boîte"
,"DIGITAL (Magasin)","AGR_HYGI_008",7,"Boîte"
,"Depot Tamatave","AGR_HYGI_008",11,"Boîte"
,"DIGITAL (Magasin)","AGR_HYGI_009",40,"Flacon"
,"Depot Alarobia","AGR_HYGI_010",2,"Unité"
,"Depot Tamatave","AGR_HYGI_010",3,"Unité"
,"DIGITAL (Magasin)","AGR_HYGI_010",16,"Unité"
,"Depot Tamatave","AGR_HYGI_012",10,"Flacon"
,"DIGITAL (Magasin)","AGR_HYGI_013",1,"Boîte"
,"Showroom Tamatave","AGR_HYGI_014",1,"Bidon"
,"DIGITAL (Magasin)","AGR_HYGI_014",4,"Bidon"
