".id","id","name","usage"
"1","stock.stock_location_locations","Emplacements physiques","View"
"10","stock.stock_location_company","ABC","View"
"11","stock.stock_location_output","Sortie","View"
"14","","Sortie Tamatave","Internal Location"
"13","","Sortie Tana","Internal Location"
"15","","Stock","View"
"12","stock.stock_location_stock","Tamatave [stock]","View"
"57","","Showroom","Internal Location"
"17","","Produits finis","Internal Location"
"7","stock.location_production","Production","Internal Location"
"55","","Reservation Tana","Internal Location"
"52","","Route vers Tana","Internal Location"
"16","","Tana [stock]","View"
"56","","Showroom","Internal Location"
"59","","Reservation Tamatave","Internal Location"
"53","","Route Vers Tamatave","Internal Location"
"34","","Technique","Internal Location"
"58","","Depot Alarobia","Internal Location"
"2","stock.stock_location_locations_partner","Emplacements partenaire","View"
"9","stock.stock_location_customers","Clients","Customer Location"
"8","stock.stock_location_suppliers","Fournisseurs","Supplier Location"
"3","stock.stock_location_locations_virtual","Emplacements Virtuels","View"
"5","stock.location_inventory","Pertes d'inventaire","Inventory"
"6","stock.location_procurement","Approvisionnements","Procurement"
"4","stock.stock_location_scrapped","Mis au rebus","Inventory"
"50","","Pertes Fournisseur","Inventory"
