".id","id","name"
1,"stock.stock_location_locations","Emplacements physiques"
10,"stock.stock_location_company","ABC"
11,"stock.stock_location_output","Sortie"
14,"Sortie Tamatave","Sortie Tamatave"
13,"Sortie Tana","Sortie Tana"
15,"Stock","Stock"
12,"stock.stock_location_stock","Tamatave [stock]"
57,"Showroom","Showroom"
17,"Produits finis","Produits finis"
7,"stock.location_production","Production"
55,"Reservation Tana","Reservation Tana"
52,"Route vers Tana","Route vers Tana"
16,"Tana [stock]","Tana [stock]"
56,"Showroom Alarobia","Showroom Alarobia"
60,"Arrivage","Arrivage"
59,"Reservation Tamatave","Reservation Tamatave"
53,"Route Vers Tamatave","Route Vers Tamatave"
34,"Technique","Technique"
58,"Depot Alarobia","Depot Alarobia"
2,"stock.stock_location_locations_partner","Emplacements partenaire"
9,"stock.stock_location_customers","Clients"
8,"stock.stock_location_suppliers","Fournisseurs"
3,"stock.stock_location_locations_virtual","Emplacements Virtuels"
5,"stock.location_inventory","Pertes d'inventaire"
6,"stock.location_procurement","Approvisionnements"
4,"stock.stock_location_scrapped","Mis au rebus"
50,"Pertes Fournisseur","Pertes Fournisseur"
,"SMOI (Discoi)","SMOI (Discoi)"
,"DIGITAL (Magasin)","DIGITAL (Magasin)"
,"Depot Andranomena","Depot Andranomena"
,"SMOI TAVE PF","SMOI TAVE PF"
,"Depot Tamatave","Depot Tamatave"
,"Showroom Tamatave","Showroom Tamatave"
,"NON CONFORME","NON CONFORME"
,"NON CONFORME TAVE","NON CONFORME TAVE"
,"Depot Ivandry","Depot Ivandry"
,"MAJUNGA","MAJUNGA"
,"ROUTE TANA TMM","ROUTE TANA TMM"
,"ROUTE TMM TANA","ROUTE TMM TANA"
,"STIMEX","STIMEX"
,"Technique","Technique"
,"FIMMO","FIMMO"
,"SHOWROOM SHARP","SHOWROOM SHARP"
,"Guilmann","Guilmann"
,"Depot MFI","Depot MFI"
