ref,name,address/name,address/street,address/street2,address/city,credit_limit,address/phone,address/fax,email,x_nif,x_stat,customer,supplier
C22001,SMTP,,,AMBOHIBAO,AMBOHIDRATRIMO,2000000,,,,,566813,TRUE,FALSE
C22002,SOCOLAIT,,LOT 04M84 AMBOHIMENA,ROUTE D'AMBOSITRA,,20000000,44 499 01,44 490 93,,105005970,12197000006,TRUE,FALSE
C22003,ABC CONSTRUCTION (ex- SMOI),,ALAROBIA,,ANTANANARIVO,100000000,22 423 49,22 438 80,,,,TRUE,FALSE
C22004,IDC,,,,,1000000,,,,105013867,51366 11 2004 0 10320,TRUE,FALSE
C22005,AGRIVET MAGASIN,,,,,0,,,,,,TRUE,FALSE
C22006,EUROPAINTS,,,,ANTANANARIVO,1000000,,,,,,TRUE,FALSE
C22007,DISCOI,,IVANDRY,,ANTANANARIVO,1000000,,,,,503076,TRUE,FALSE
C22008,IDF,MME SWAPHIRA,LOT 1 A   AMBIHIBAO,,,10000000,,,,,,TRUE,FALSE
C22009,SPSM,MR FIDELE,BP 4 ILOT MADAME,,,10000000,320514907,57 910 22,pechestemarie@yahoo.fr // spsm@smtp.com.mg,6714250,521181997000004,TRUE,FALSE
C22010,NOSCIM,MR ABDOUL,12 RUE RANAIVOSON ARANTA,MAHAJANGA,,0,62 231 65,320758191,noscim@moov.mg,105 004 214,20101 41 1986 00008,TRUE,FALSE
C22011,CLIENT DIV. OCCAS./VENTES COMPTOIR,,,,,900000000,,,,,,TRUE,FALSE
C22012,JUMBO SCORE ANKORONDRANO,,,,,10000000,22 684 60,22 684 59,,61 819,552 227 101,TRUE,FALSE
C22013,SAVA,MR RANDRIAMAHEFA,ANALAKELY,,ANTANANARIVO,0,22 240 98,,,,,TRUE,FALSE
C22014,AVITECH,,LOT 483 ME MANDROSOA - IVATO,,AMBOHIDRATRIMO,15000000,22 445 83/22 581 60,2248233,,105001461,1.44011199501001E+015,TRUE,FALSE
