"default_code","name","standard_price","list_price","uom_id.id","uom_po_id.id"
"2042110001002","EUROBAT GLYCERO ABRICOT 1L",0,5438,1,1
"2042110001014","EUROBAT GLYCERO ABRICOT 20KG",0,106201.57,1,1
"2031310001015","VINYL EUROBAT INTERIEUR ABRICOT 25KG",37292,50000,2,2
"2042110001007","EUROBAT GLYCERO ABRICOT 4 kg",0,23469.38,1,1
"2032310001008","VINYL EUROBAT EXTERIEUR ABRICOT 5 kg",10135.58,15000,1,1
"2031310001008","VINYL EUROBAT INTERIEUR ABRICOT 5 kg",9683.78,13000,2,2
"4042110002001","DECORZEN Alu 120 ml",1169.05,1850,2,2
"4042110002000","DECORZEN Alu VRAC",6900,9000,2,2
"2042110003002","EUROBAT GLYCERO BEIGE 1L",4959.01,6500,1,1
"4042110003001","DECORZEN Beige 120 ml",0,1600,2,2
"3072120536014","COLORZEN LAQUE E05-36 20 KG",0,129210,2,2
"3072120536007","COLORZEN LAQUE E05-36 4 KG",20496.87,30800,2,2
"3072110003007","COLORZEN LAQUE BEIGE 4 kg",19651.48,28982.13,2,2
"2152210004003","ANTIROUILLE Blanc 1 kg",0,5410.32,1,1
"3072110004002","COLORZEN LAQUE BLANC 1 L",5330.21,7994.57,2,2
"4042110004001","DECORZEN Blanc 120 ml",0,1600,2,2
"3072110004014","COLORZEN LAQUE BLANC 20 kg",93894.35,137531.5,2,2
"3082310004014","EUROLITH BLANC 20KG",0,131217.36,1,1
"2162110004014","MARINE PAINTS BLANC 20 KG",126221.29,165000,1,1
"1032310004014","VINYL EUROPINT EXTERIEUR Blanc 20 kg",22389.7,37000,1,1
"1031310004014","VINYL EUROPINT INTERIEUR Blanc 20 kg",19384.15,25000,1,1
"2032310004014","VINYL EUROBAT EXTERIEUR BLANC EN CARTON 20 kg",27260.25,40000,1,1
"2031310004014","VINYL EUROBAT INTERIEUR BLANC EN CARTON 20 kg",23098.87,35000,2,2
"3052310004015","COLORZEN ACRYLIQUE BLANC 25 kg",69665.34,100817.6,1,1
"2032310004015","VINYL EUROBAT EXTERIEUR BLANC 25 kg",39724.53,52000,1,1
"2031310004015","VINYL EUROBAT INTERIEUR BLANC 25KG",34273.71,45000,2,2
"3072110004007","COLORZEN LAQUE BLANC 4 kg",19847.43,29898,2,2
"2102310004007","EUROTOLE BLANC 4KG",0,24791.67,1,1
"2162110004007","MARINE PAINTS BLANC 4 KG",25734.15,35500,1,1
"2112110004007","EUROSOL BLANC 4 kg",26164.89,36500,1,1
"1031310004007","LOKOALO Blanc 4 kg",3807.57,5500,1,1
"3052310004008","COLORZEN ACRYLIQUE BLANC 5 kg",15541.36,22555,1,1
"2032310004008","VINYL EUROBAT EXTERIEUR BLANC 5 kg",9103.2,14000,1,1
"2031310004008","VINYL EUROBAT INTERIEUR BLANC 5 kg",8098.07,11000,2,2
"1032310004000","VINYL EUROPINT EXTERIEUR Blanc Vrac",1124.67,1938.74,1,1
"2031310004000","VINYL EUROBAT INTERIEUR BLANC VRAC",1226.04,1650,2,2
"2042110004002","EUROBAT GLYCERO BLANC 1L",4922.39,6200,1,1
"2042110004014","EUROBAT GLYCERO BLANC 20KG",0,105000,1,1
