"ref","name","address/name","address/street","address/street2","address/city","credit_limit","address/phone","address/fax","email","x_nif","x_stat","customer","supplier"
"C22001","SMTP",,"LOT 01 A AMBOHIBAO ANTEHIROKA","BP 14 IVATO AEROPORT",,10000000,,,,,,"TRUE","FALSE"
"C22002","SOCOLAIT","41100000",,,,10000000,,,,,,"TRUE","FALSE"
"C22003","ABC CONSTRUCTION",,"1 Rue du Pape Alarobia",,"ANTANANARIVO",10000000000000,"2249346","2243878","commercial.abc@groupe-smtp.com","105006299",,"TRUE","FALSE"
"C22004","IDC","GOULZAR",,,"TANA",0,"22 442 20",,,,,"TRUE","FALSE"
"C22005","AGRIVET","41100000",,,,20000000,,,,,,"TRUE","FALSE"
"C22007","DISCOI",,,,,20000000,,,,,,"TRUE","FALSE"
"C22008","IDF",,"LOT O 1 A AMBOHIBAO",,,10000000000,,,,"107009628",,"TRUE","FALSE"
"C22009","SPSM","MR VONJY","SAINTE MARIE",,,0,,,,,,"TRUE","FALSE"
"C22011","CONS DIRECT",,,,,100000000,,,,,,"TRUE","FALSE"
"C22012","PRODUCTION USINE",,,,,0,,,,,,"TRUE","FALSE"
"C22013","SOA DISTRIBUTION","M.RINDRA",,,,0,"331505148",,,,,"TRUE","FALSE"
"C22014","ENTREPRISE FANAMBY","MME TINA","LOT IAB30 ANDRANONOBE ILAFY",,"ANTANANARIVO",0,"0320445781/0332300325",,,,,"TRUE","FALSE"
"C22015","QUINCAILLERIE HF","MME FABIOLA","ITAOSY",,"ANTANANARIVO",0,"0324308854/0331106989",,"madagascar.conceptimmo@yahoo.fr",,,"TRUE","FALSE"
"C22016","ADONIS RECUP'OIL SA","CHRISTOPHE CHEDRU",,,,0,"0320796617-24 658 90","22 585 67","usine-tana@traitement-hydrocarbure.com",,,"TRUE","FALSE"
"C22017","E/SE RAOBELINA HERITIANA","HERITIANA","ANTANANARIVO",,"ANTANANARIVO",0,"0340401999/0331294293",,,,,"TRUE","FALSE"
"C22018","SOCIETE SNID","ANDY NIRINA ANDRIAMORIA","58 ROUTE CIRCULAIRE","AMPANDRANA OUEST",,2000000,"0331185413/0340485413",,"societe.snid@yahoo.com",,,"TRUE","FALSE"
"C22019","TEKISASY SARL","THIERRY","MAHAMASINA EST","TANA",,0,"032 07 002 48",,,,,"TRUE","FALSE"
"C22020","LE VILLAGE","Herv? SCRIVE","LOT 36F Ambohibao",,,0,"202245197",,"village@wanadoo.mg",,,"TRUE","FALSE"
"C22021","QUINCAILLERIE  MONOPRIX",,,,,0,,,,,,"TRUE","FALSE"
"C22022","AEROMARINE/GPE SICOB",,,,,0,,,,,,"TRUE","FALSE"
"C22023","POINT PACOM",,,,,0,,,,,,"TRUE","FALSE"
"C22024","QUINCAILLERIE FENOMANANA",,,,,0,,,,,,"TRUE","FALSE"
"C22025","RAJONHSON HARILIVA",,,,,0,,,,,,"TRUE","FALSE"
"C22026","QUINCAILLERIE EVAH",,,,,0,,,,,,"TRUE","FALSE"
"C22027","QUINCAILLERIE OCEAN",,,,,0,,,,,,"TRUE","FALSE"
"C22028","ENTREPRISE  RABE",,,,,0,,,,,,"TRUE","FALSE"
"C22029","SMTH SARL",,,,,0,,,,,,"TRUE","FALSE"
"C22030","BCIO",,,,,0,,,,,,"TRUE","FALSE"
"C22031","NEANT",,,,,0,,,,,,"TRUE","FALSE"
"C22032","REA",,,,,0,,,,,,"TRUE","FALSE"
"C22033","AGRIVAL",,,,,5000000,,,,,,"TRUE","FALSE"
"C22034","AGRIFARM",,,,,5000000,,,,,,"TRUE","FALSE"
"C22035","SIEMA",,"LOT II U 101 CITE PLANTON AMPAHIBE ",,"ANTANANARIVO",10000000,"22 266 86",,"siema.mada@yahoo.fr","2000 173303","2003B00384","TRUE","FALSE"
"C22036","C 2 C",,"III A 44 W BIS AMBOHIDROA",,,0,"0325532442/0331134152",,,"40000 98 548","0138 848 DGI/B MARS 2011","TRUE","FALSE"
"C22037","COMPTE SOHEB MOLOU",,,,,1000000,,,,,,"TRUE","FALSE"
"C22038","SINO HYDRO",,,,,5000000,,,,"200 000 0578","0174458 DU 08/10/10","TRUE","FALSE"
"C22039","ENTREPRISE JJ",,"LOT II U 101 CITE PLANTON AMPAHIBE","ANTANANARIVO",,0,"22266 82 /32 05 57443","22 266 86",,"5000157953","2006800697","TRUE","FALSE"
"C44001","A.S.J.A","PERE JOSEPH","ANTSIRABE",,"ANTSIRABE",0,"44 483 19/0331134040",,"asja@moov.mg",,,"TRUE","FALSE"
"C62001","CMGI","M.RABEHARIMANANA R.","RUE GAMETTA MAHAJANGA BE MAHAJANGA ",,,0,,,,"77 326 713",,"TRUE","FALSE"
"C86001","SMMH SA","MR MASSIMO","ANDILANA BEACH NOSY BE 207",,,0,"033152507/0331525000",,"directeur.technique@andilana.info",,,"TRUE","FALSE"
"C86002","AUSTRAL CONSTRUCTION","JACQUES BRUNEL",,"NOSY BE",,0,"331124139",,,,,"TRUE","FALSE"
"C86003","ENTREPRISE MAHEFA","RAMAROSON HERY","AMBONARA NOSY BE HELL VILL",,,0,"320777505",,"lantonosybe@yahoo.fr",,,"TRUE","FALSE"
"C99001","MAYOTTE PLASTIQUES",,"ZI DE KAWENI 97600 MADMOUDZOU",,,50000000,,,,,,"TRUE","FALSE"
"F22001","SMTP",,,,,0,,,,,,"FALSE","TRUE"
"F22002","SOCOLAIT",,,,,0,,,,,,"FALSE","TRUE"
"F22003","SMOI",,"1 BIS RUE PATRICE LUMUMBA","ALAROBIA BP 322",,0,,,,,,"FALSE","TRUE"
"F22004","IDC INTERNATIONAL DISTRIBUTION",,,,,0,,,,,,"FALSE","TRUE"
"F22005","AGRIVET",,"ETS SMTP AMBOHIBAO",,,0,,,,,,"FALSE","TRUE"
"F22006","EDICOM",,"28, Rue Andrianampoinimerina - ","Analakely","Antananarivo",0,"22 308 46/22 207 95","22 346 76","edicom@annumada.com",,,"FALSE","TRUE"
"F22007","DISCOI",,"AMBOHIBAO ANTEHIROKA","BP 3208",,0,"22 583 20","22 583 23",,,,"FALSE","TRUE"
"F22008","IDF",,,,,0,,,,,,"FALSE","TRUE"
"F22011","COMPTOIR ACTUEL",,,,,0,,,,,,"FALSE","TRUE"
"F22012","DISCOGI",,,,,0,,,,,,"FALSE","TRUE"
"F22013","EFCFM",,,,,0,,,,,,"FALSE","TRUE"
"F22014","FEROFLEX",,,,,0,,,,,,"FALSE","TRUE"
"F22015","GAMO INDUSTRIE",,,,,0,,,,,,"FALSE","TRUE"
"F22016","JEAN LARMUSIAU",,,,,0,,,,,,"FALSE","TRUE"
"F22017","JIRAMA",,,,,0,,,,,,"FALSE","TRUE"
"F22018","MASTER TRADE SA",,,,,0,,,,,,"FALSE","TRUE"
"F22019","MCI",,,,,0,,,,,,"FALSE","TRUE"
"F22020","SOSIMABI",,"ZIF TANJOMBATO",,,0,,,,,,"FALSE","TRUE"
"F22021","SOCIETE MELLIS",,"IMMEUBLE DZAMA ANOSIBE",,,0,,,,,,"FALSE","TRUE"
"F22022","LNTPB",,,,,0,,,,,,"FALSE","TRUE"
"F22023","MENUISERIE DE LA GRANDE ILE",,,,,0,,,,,,"FALSE","TRUE"
"F22024","POINT PACOM",,,,,0,,,,,,"FALSE","TRUE"
"F22025","PLOMBELEC",,,,,0,,,,,,"FALSE","TRUE"
"F22026","QUINCAILLERIE 2000",,,,,0,,,,,,"FALSE","TRUE"
"F22027","SODIREX",,,,,0,,,,,,"FALSE","TRUE"
"F22028","SOTHERLY",,"Lot 75 Fotroafana Mandrasoa Ivato","T?l 22 440 67",,0,,,,,,"FALSE","TRUE"
"F22029","TELMA",,,,,0,,,,,,"FALSE","TRUE"
"F22030","MATEC",,,,,0,,,,,,"FALSE","TRUE"
"F22031","RELI",,,,,0,,,,,,"FALSE","TRUE"
"F22032","ETAT COMITE DE PRIVATISATION",,,,,0,,,,,,"FALSE","TRUE"
"F22033","SPCI",,,,,0,,,,,,"FALSE","TRUE"
"F22034","PROCHIMAD",,"ZI Mandrosoa Ivato BP3145",,,0,,,,,,"FALSE","TRUE"
"F22035","UMS LABO MECA",,,,,0,,,,,,"FALSE","TRUE"
"F22036","PIC INDUSTRIES",,,,,0,,,,,,"FALSE","TRUE"
"F22037","LOKO SORATRA",,,,,0,,,,,,"FALSE","TRUE"
"F22038","SANIFER",,,,,0,,,,,,"FALSE","TRUE"
"F22039","DAOUD AMODE",,,,,0,,,,,,"FALSE","TRUE"
"F22040","SAR CONSTRUCTION & Cie",,,,,0,,,,,,"FALSE","TRUE"
"F22041","COMMUNE TANJOMBATO",,,,,0,,,,,,"FALSE","TRUE"
"F22042","TRANS-ROUTE",,,,,0,,,,,,"FALSE","TRUE"
"F22043","XAVIER CROIDIEU",,,,,0,,,,,,"FALSE","TRUE"
"F22044","AQUAMAD",,,,,0,,,,,,"FALSE","TRUE"
"F22045","SGS",,,,,0,,,,,,"FALSE","TRUE"
"F22046","CMA-CGM",,,,,0,,,,,,"FALSE","TRUE"
"F22047","OMAPI",,,,,0,,,,,,"FALSE","TRUE"
"F22048","F BONNET & FILS",,,,,0,,,,,,"FALSE","TRUE"
"F22049","MAKIPLAST",,,,,0,,,,,,"FALSE","TRUE"
"F22050","TRANSPORT VELO HENRI",,,,,0,,,,,,"FALSE","TRUE"
"F22051","MADAGASCAR SECURITE",,"Lot VU 161 Manakambahiny","BP 1687 T?l/Fax 22 609 02",,0,,,,,,"FALSE","TRUE"
"F22052","TED",,"Lot II J 17 ter Ivandry","BP 4249 Routes des hydrocarbures",,0,,,,,,"FALSE","TRUE"
"F22053","SODIM",,"11 Rue Mahafaka Tsaralal?na","BP 8585 T?l 22 301 63 Fax 22 301 63",,0,,,,,,"FALSE","TRUE"
"F22054","QUINC TSARAMANDROSO",,"Lot IBM 82 Rue Dr Ranaivo Tsaralal?","Vente ? l'utilisateur",,0,,,,,,"FALSE","TRUE"
"F22055","COMPAGNIE MADECASSE",,"BP 567 Route des hydrocarbures","Ankorondrano",,0,,,,,,"FALSE","TRUE"
"F22056","MSM",,"BP 8117 Route Digue","Domaine d'Andranoabo",,0,,,,,,"FALSE","TRUE"
"F22057","MICROMANIA",,"Lot IVS 14 Bis Antanimena",,,0,"22 558 60",,"micromania @ dts.mg",,,"FALSE","TRUE"
"F22058","OCEAN TRADE CO",,"BP 21bis Andraharo Ambohimanarina",,,0,"22 303 03",,"oceantra @ bow.dts.mg",,,"FALSE","TRUE"
"F22059","TRANSPORT TSIMANAVAKA",,,,,0,,,,,,"FALSE","TRUE"
"F22060","QUINC MORABE",,,,,0,,,,,,"FALSE","TRUE"
"F22061","CCE",,,,,0,,,,,,"FALSE","TRUE"
"F22062","SITMA",,"Andravoahangy BP 8547",,,0,"2246802","2246807",,,,"FALSE","TRUE"
