"name","code","type",".id","id"
"Virement BMOI","BNK1","Bank and Cheques",6,"BNK1"
"Banque 2","BNK2","Bank and Cheques",7,"BNK2"
"Espece","BNK3","Cash",8,"BNK3"
"Purchase Refund Journal","ECNJ","Purchase Refund",5,"ECNJ"
"Journal Achats","EXJ","Purchase",3,"EXJ"
"Fixed Assets Journal","FAJ","General",14,"account_fixed_assets.fixed_assets_journal"
"OPERTION DIVERS","OD","General",15,"OD"
"Journal Ventes","SAJ","Sale",2,"SAJ"
"journal des salaires","SAL","General",9,"account.salary_journal"
"Sales Refund Journal","SCNJ","Sale Refund",4,"SCNJ"
"Stock Journal","STJ","General",1,"stock.stock_journal"
"Traite","TR1","Bank and Cheques",10,"TR1"
"Traite Emises","TRE","Bank and Cheques",12,"TRE"
"Cheque","chq","Bank and Cheques",11,"chq"
"Depreciation","dep","General",13,"dep"
