default_code,name,standard_price,list_price
BAC_50EG_001,Tole bac cintrée 0 50mm coupe longueur vert emeraude 1250/5kg-metre,0,18360
BAC_50EG_999,Tole bac 0 50MM coupe longueur vert eméraude 1250/5kg - metre,15550,18360
BAC_50EP_001,Tole bac cintrée 0 50MM coupe longueur vert eméraude 1000/4kg - metre,11655,18360
BAC_50EP_999,Tole bac 0 50MM coupe longueur vert eméraude 1000/4kg - metre,11655,15300
BAC_50FP_999,Tole bac 0 50MM coupe longueur vert claire 1000/4 0kg - metre,11655,18111
BAC_50JG_001,Tole bac cintrée 0 50MM coupe longueur vert jaune 1250 - metre,13104,22950
BAC_50JG_999,Tole bac 0 50MM coupe longueur vert jaune 1250/5kg - metre,13104,18360
BAC_50JP_001,Tole bac cintrée 0 50MM coupe longueur vert jaune 1000 - metre,11655,18360
BAC_50JP_999,Tole bac 0 50MM coupe longueur vert jaune 1000/4kg - metre,11655,15300
BAC_50NG_001,Tole bac cintrée 0 50MM coupe longueur galva 1250 - metre,11978,19500
BAC_50NG_020,Tole bac 0 50MM 2 00M galva 1250/10kg - feuilles,23956,31200
BAC_50NG_025,Tole bac 0 50MM 2 50M galva 1250/12 5kg - feuilles,29945,39000
BAC_50NG_030,Tole bac 0 50MM 3 00M galva 1250/15kg - feuilles,35934,46800
BAC_50NG_035,Tole bac 0 50MM 3 50M galva 1250/17 50 - feuilles,41923,54600
BAC_50NG_040,Tole bac 0 50MM 4 00M galva 1250/20kg - feuilles,47912,62400
BAC_50NG_045,Tole bac 0 50MM 4 50M galva 1250/22 5kg - feuilles,59890,70200
BAC_50NG_050,Tole bac 0 50MM 5 00M galva 1250/25kg - feuilles,59890,78000
BAC_50NG_055,Tole bac 0 50MM 5 50M galva 1250/27 5kg - feuilles,65879,85800
BAC_50NG_060,Tole bac 0 50MM 6 00M galva 1250/30kg - feuilles,71868,93600
BAC_50NG_999,Tole bac 0 50MM coupe longueur galva 1250/5kg - metre,11978,15600
BAC_50NP_001,Tole bac cintrée 0 50MM coupe longueur galva 1000 - metre,10979,15600
BAC_50NP_020,Tole bac 0 50MM 2 00M galva 1000/8kg - feuilles,21482,26000
BAC_50NP_025,Tole bac 0 50MM 2 50M galva 1000/10kg - feuilles,26853,32500
BAC_50NP_030,Tole bac 0 50MM 3 00M galva 1000/12kg - feuilles,32223,39000
BAC_50NP_035,Tole bac 0 50MM 3 50M galva 1000/14kg - feuilles,37594,45500
BAC_50NP_040,Tole bac 0 50MM 4 00M galva 1000/16kg - feuilles,42964,52000
BAC_50NP_045,Tole bac 0 50MM 4 50M galva 1000/18kg - feuilles,48335,58500
BAC_50NP_050,Tole bac 0 50MM 5 00M galva 1000/20kg - feuilles,53705,65000
BAC_50NP_055,Tole bac 0 50MM 5 50M galva 1000/22kg - feuilles,59076,71500
BAC_50NP_060,Tole bac 0 50MM 6 00M galva 1000/24kg - feuilles,64446,78000
BAC_50NP_999,Tole bac 0 50MM coupe longueur galva 1000/4kg - metre,10741,13000
BAC_50RG_001,Tole bac cintrée 0 50MM coupe longueur rouge brun 1250 - metre,13104,22950
BAC_50RG_999,Tole bac 0 50MM coupe longueur rouge brun 1250/5kg - metre,13104,18360
BAC_50RP_001,Tole bac cintrée 0 50MM coupe longueur rouge brun 1000 - metre,11655,18360
BAC_50RP_999,Tole bac 0 50MM coupe longueur rouge brun 1000/4kg - metre,11750,15300
BAC_50TP_001,Tole bac cintrée 0 50MM coupe longueur rouge trafic 1000 - metre,11655,18360
BAC_50TP_999,Tole bac 0 50MM coupe longueur rouge trafic 1000/4kg - metre,11655,15300
BAC_50VP_999,Tole bac 0 50MM coupe longueur vert pale 1000/4kg - metre,11750,15300
BAC_50WG_001,Tole bac cintrée 0 50MM coupe longueur blanc 1250 - metre,13104,22950
BAC_50WG_999,Tole bac 0 50MM coupe longueur blanc 1250/5kg - metre,13104,18360
BAC_50WP_001,Tole bac cintrée 0 50MM coupe longueur blanc 1000 - metre,11655,18360
BAC_50WP_999,Tole bac 0 50MM coupe longueur blanc 1000/4kg - metre,11655,15300
BAC_60BP_999,Tole bac 0 60MM coupe longueur bleu ciel 1000/4 8kg - metre,0,21833
BAC_60CP_999,Tole bac 0 60MM Coupe longueur blanc crème 1000/4 8kg - metre,13859,18400
BAC_60EG_001,Tole bac cintrée 0 60mm coupe longueur vert emeraude 1250 - metre,0,32777
BAC_60EG_999,Tole bac 0 60MM coupe longueur vert eméraude 1250/6kg - metre,0,22080
BAC_60EP_999,Tole bac 0 60MM coupe longueur vert eméraude 1000/4 8kg - metre,14101,18400
BAC_60JG_001,Tole bac cintrée 0 60MM coupe longueur vert jaune 1250 - metre,15550,27600
BAC_60JG_999,Tole bac 0 60MM coupe longueur vert jaune 1250/6kg - metre,15550,22080
BAC_60JP_999,Tole bac 0 60MM coupe longueur vert jaune 1000/4 8kg - metre,13859,18400
BAC_60NG_001,Tole bac cintrée 0 60MM coupe longueur galva 1250 - metre,14664,24000
BAC_60NG_020,Tole bac 0 60MM 2 00M galva 1250/12kg - feuilles,31342,38400
BAC_60NG_025,Tole bac 0 60MM 2 50M galva 1250/15kg - feuilles,39178,48000
BAC_60NG_030,Tole bac 0 60MM 3 00M galva 1250/18kg - feuilles,47013,57600
BAC_60NG_035,Tole bac 0 60MM 3 50M galva 1250/21kg - feuilles,54849,67200
BAC_60NG_040,Tole bac 0 60MM 4 00M galva 1250/24kg - feuilles,62684,76800
BAC_60NG_045,Tole bac 0 60MM 4 50M galva 1250/27kg - feuilles,70519,86400
BAC_60NG_050,Tole bac 0 60MM 5 00M galva 1250/30kg - feuilles,78355,96000
BAC_60NG_055,Tole bac 0 60MM 5 50M galva 1250/33kg - feuilles,86191,105600
BAC_60NG_060,Tole bac 0 60MM 6 00M galva 1250/36kg - feuilles,94026,115200
BAC_60NG_999,Tole bac 0 60MM coupe longueur galva 1250/6kg - metre,15671,19200
BAC_60NP_001,Tole bac cintrée 0 60MM coupe longueur galva 1000 - metre,12795,19200
BAC_60NP_020,Tole bac 0 60MM 2 00M galva 1000/9 6kg - feuilles,25778,32000
BAC_60NP_025,Tole bac 0 60MM 2 50M galva 1000/12kg - feuilles,32223,40000
BAC_60NP_030,Tole bac 0 60MM 3 00M galva 1000/14 4kg - feuilles,38667,48000
BAC_60NP_035,Tole bac 0 60MM 3 50M galva 1000/16 8kg - feuilles,45112,56000
