"name","categ_id/id","standard_price","list_price","uom_id/id"
"Cavalier bac bleu - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac blanc crème - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac vert emeraude - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac gris - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac vert jaune - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac galva - paquet de 100 pcs","ACT",3700,9000,
"Cavalier bac rouge brun - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac rouge trafic - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac vert pâle - paquet de 100 pcs","ACT",3900,12500,
"Cavalier bac blanc - paquet de 100 pcs","ACT",3900,12500,
"Capuchon plastique rouge - paquet de 100 pcs","ACT",5100,12100,
"Capuchon plastique vert - paquet de 100 pcs","ACT",5100,12100,
"Capuchon plastique blanc - paquet de 100 pcs","ACT",5100,12100,
"Cale Tôle bac bois - paquet de 100 pcs","ACT",5900,10500,
"Cale Tôle bac plastique bleu - paquet de 100 pcs","ACT",6300,10000,
"Cale Tôle ondulé bois - paquet de 100 pcs","ACT",5900,10500,
"Cale Tôle ondulé plastique blanc - paquet de 100 pcs","ACT",4800,17263,
"Cale Tôle tuile bois - paquet de 100 pcs","ACT",59,105,"Unité"
"Cale Tôle bac plastique blanc - paquet de 100 pcs","ACT",6300,10000,
"Tige Fileté 6*1000 - boîte de 100 pcs","ACT",367,790,"Unité"
"Tige Fileté 6*250 - carton de 400 pcs","ACT",105.33,168,"Unité"
"Tige Fileté 6*300 - boîte de 100 pcs","ACT",150.25,200,"Unité"
"Tige Fileté 6*250 ecrou+rondelle feutre+rondelle plate - boîte de 100","ACT",227.6,310,"Unité"
"Tige Fileté 6*300 ecrou+rondelle feutre+rondelle plate - boîte de 100","ACT",280.892,330,"Unité"
"Tige Fileté 6*1000 ecrou+rondelle feutre+rondelle plate - boîte de 10","ACT",860.966,1065,"Unité"
"Tige Fileté 8*1000 - boîte de 100 pcs","ACT",708,1490,"Unité"
"Tige Fileté 8*250 - boîte de 100 pcs","ACT",260,284,"Unité"
"Tige Fileté 8*300 - boîte de 100 pcs","ACT",302,326,"Unité"
"Tige Fileté 8*350 - boîte de 100 pcs","ACT",324.39,358,"Unité"
"Tige Fileté 8*250 ecrou+rondelle feutre+rondelle plate - boîte de 100","ACT",283,445,"Unité"
"Tige Fileté 8*300 ecrou+rondelle feutre+rondelle plate - boîte de 50","ACT",437.817,520,"Unité"
"Tige Fileté 8*350 ecrou+rondelle feutre+rondelle plate - boîte de 50 ","ACT",515.728,650,"Unité"
"Tige Fileté 8*1000 ecrou+rondelle feutre+rondelle plate - boîte de 10","ACT",1076,2650,"Unité"
"Pointe torsadée - boîte de 100 pcs","ACT",31,40,"Unité"
"Rondelle etanche 16MM - het de 100 pcs","ACT",1250,2189,
"Rondelle Feutre neoprène 6MM - het de 100 pcs","ACT",1000,3000,
