"name","ref","address/name","address/street","address/street2","address/zip","address/city","address/country_id.id","address/phone","address/fax","address/email","property_payment_term.id","credit_limit","x_nif","x_stat","x_cif","customer","supplier",
"CLIENTS OCCASIONNELS","C00001",,,,,,135,,,,5,200000000,,,,"True","False",
"C O Zavar (Tra Moravidy)","C00002",,,,,,135,,,,5,5000000,,,,"True","False",
"SMOI","C00003",,"Lot 01 AMBOHIBAO ANTEHIROKA",,,"ANTANANARIVO",135,,,,5,20000000,105006299,,,"True","False",
"Malagasy Packaging","C00004","M.Moise","Enceinte ETEMAD Andraharo",,,,135,320703468,,,5,0,2119401,,,"True","False",
"SMTP","C00005",,"LOT O1 AMBOHIBAO ANTEHIROKA",,,,135,,,,5,20000000,105001127,,,"True","False",
"MAGRO","C00006",,"Tanjombato",,,,135,,,,5,50000000,6931546,,,"True","False",
"FIRM &  ARCHITECTURE SARL","C00007",,"Lot ILA Ambohibary Alasora",,,,135,,,,5,0,35651813,,,"True","False",
"TRANSPORTEUR  BENJA","C00008",,"Lot II E 26 GH Ambohimirana",,,,135,"034 05 035 62",,,5,0,5146848,,,"True","False",
"TRANSPORT MASOANDRO","C00009","M.Rakotonirina Eloi",,,,,135,,,,5,0,6309601,,,"True","False",
"GALANA","C00010","M.Rija","2e etage Ikopa Center","Tanjombato",60118,"Antananarivo",135,,,,5,0,105006184,,,"True","False",
"A NE PLUS UTILISER","C00011",,,,,,135,,,,5,0,105005970,,,"True","False",
"CO RAHIM Majunga","C00012",,,,,,135,320443021,,,5,0,,,,"True","False",
"CO MOUSTAK FIDALY","C00013",,,,,,135,,,,5,0,,,,"True","False",
"CO Donia Sambava","C00014",,,,,,135,"88 920 83",,,5,0,,,,"True","False",
"BUROTEC","C00015","M.Alec","14,rue Emile Rajohnson Antsahavola",,101,"Antananarivo",135,324898848,,,5,0,323228,,,"True","False",
"Fazleabasse DIVANE","C00016",,"Fort Dauphin",,,,135,,,,5,0,6350929,,,"True","False",
"SEDICO","C00017",,"47 A Bis Antanetibe Antehiroka",,,,135,331121329,,,5,0,105010810,,,"True","False",
